   / -------   -------
  *  Capsule Passed: dict_keys([])
   \ -------   -------
0002 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.270  | Cross position []  | time:  0.092
0003 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.270  | Cross position []  | time:  0.021
0004 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.270  | Cross position []  | time:  0.015
0005 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.270  | Cross position []  | time:  0.026
0006 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.270  | Cross position []  | time:  0.031
0007 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.270  | Cross position []  | time:  0.017
0008 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.270  | Cross position []  | time:  0.016
0009 : 1 Stanley2Cross  | offset 0.143  | angle -1.637  | speed_z 0.253  | Cross position []  | time:  0.016
0010 : 1 Stanley2Cross  | offset 0.143  | angle -1.637  | speed_z 0.253  | Cross position []  | time:  0.016
0011 : 1 Stanley2Cross  | offset 0.143  | angle -1.637  | speed_z 0.253  | Cross position []  | time:  0.016
0012 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.270  | Cross position []  | time:  0.016
0013 : 1 Stanley2Cross  | offset 0.143  | angle -1.637  | speed_z 0.253  | Cross position []  | time:  0.016
0014 : 1 Stanley2Cross  | offset 0.964  | angle -1.500  | speed_z 0.276  | Cross position []  | time:  0.019
0015 : 1 Stanley2Cross  | offset -0.589  | angle -1.841  | speed_z 0.245  | Cross position []  | time:  0.016
0016 : 1 Stanley2Cross  | offset 0.464  | angle -1.500  | speed_z 0.249  | Cross position []  | time:  0.019
0017 : 1 Stanley2Cross  | offset 2.089  | angle -1.023  | speed_z 0.263  | Cross position []  | time:  0.016
0018 : 1 Stanley2Cross  | offset 4.125  | angle -0.477  | speed_z 0.287  | Cross position []  | time:  0.017
0019 : 1 Stanley2Cross  | offset 3.821  | angle -0.818  | speed_z 0.322  | Cross position []  | time:  0.018
0020 : 1 Stanley2Cross  | offset 2.928  | angle -1.091  | speed_z 0.317  | Cross position []  | time:  0.014
0021 : 1 Stanley2Cross  | offset 1.928  | angle -1.091  | speed_z 0.265  | Cross position []  | time:  0.017
0022 : 1 Stanley2Cross  | offset 2.089  | angle -1.023  | speed_z 0.263  | Cross position []  | time:  0.016
0023 : 1 Stanley2Cross  | offset 2.928  | angle -1.091  | speed_z 0.317  | Cross position []  | time:  0.016
0024 : 1 Stanley2Cross  | offset 2.053  | angle -1.568  | speed_z 0.343  | Cross position []  | time:  0.017
0025 : 1 Stanley2Cross  | offset 3.000  | angle -0.955  | speed_z 0.300  | Cross position []  | time:  0.011
0026 : 1 Stanley2Cross  | offset 4.125  | angle -0.477  | speed_z 0.287  | Cross position []  | time:  0.017
0027 : 1 Stanley2Cross  | offset 2.089  | angle -1.023  | speed_z 0.263  | Cross position []  | time:  0.000
0028 : 1 Stanley2Cross  | offset 0.464  | angle -1.500  | speed_z 0.249  | Cross position []  | time:  0.016
0029 : 1 Stanley2Cross  | offset 4.125  | angle -0.477  | speed_z 0.287  | Cross position []  | time:  0.014
0030 : 1 Stanley2Cross  | offset 5.000  | angle 0.000  | speed_z 0.260  | Cross position []  | time:  0.018
0031 : 1 Stanley2Cross  | offset 1.339  | angle -1.023  | speed_z 0.224  | Cross position []  | time:  0.017
0032 : 1 Stanley2Cross  | offset 3.821  | angle -0.818  | speed_z 0.322  | Cross position []  | time:  0.024
0033 : 1 Stanley2Cross  | offset 1.089  | angle -1.023  | speed_z 0.211  | Cross position []  | time:  0.016
0034 : 1 Stanley2Cross  | offset 2.875  | angle -0.477  | speed_z 0.222  | Cross position []  | time:  0.016
0035 : 1 Stanley2Cross  | offset 2.875  | angle -0.477  | speed_z 0.222  | Cross position []  | time:  0.016
0036 : 1 Stanley2Cross  | offset 1.821  | angle -0.818  | speed_z 0.218  | Cross position []  | time:  0.016
0037 : 1 Stanley2Cross  | offset 3.875  | angle -0.477  | speed_z 0.274  | Cross position []  | time:  0.016
0038 : 1 Stanley2Cross  | offset 1.339  | angle -1.023  | speed_z 0.224  | Cross position []  | time:  0.017
0039 : 1 Stanley2Cross  | offset 1.089  | angle -1.023  | speed_z 0.211  | Cross position []  | time:  0.000
0040 : 1 Stanley2Cross  | offset 1.339  | angle -1.023  | speed_z 0.224  | Cross position []  | time:  0.016
0041 : 1 Stanley2Cross  | offset 2.321  | angle -0.818  | speed_z 0.244  | Cross position []  | time:  0.018
0042 : 1 Stanley2Cross  | offset 1.089  | angle -1.023  | speed_z 0.211  | Cross position []  | time:  0.011
0043 : 1 Stanley2Cross  | offset 5.000  | angle 0.000  | speed_z 0.260  | Cross position []  | time:  0.015
0044 : 1 Stanley2Cross  | offset 5.000  | angle 0.000  | speed_z 0.260  | Cross position []  | time:  0.016
0045 : 1 Stanley2Cross  | offset 1.089  | angle -1.023  | speed_z 0.211  | Cross position []  | time:  0.016
0046 : 1 Stanley2Cross  | offset 4.125  | angle -0.477  | speed_z 0.287  | Cross position []  | time:  0.016
0047 : 1 Stanley2Cross  | offset 3.125  | angle -0.477  | speed_z 0.235  | Cross position []  | time:  0.001
0048 : 1 Stanley2Cross  | offset -0.179  | angle -0.818  | speed_z 0.113  | Cross position []  | time:  0.018
0049 : 1 Stanley2Cross  | offset 3.125  | angle -0.477  | speed_z 0.235  | Cross position []  | time:  0.016
0050 : 1 Stanley2Cross  | offset 2.089  | angle -1.023  | speed_z 0.263  | Cross position []  | time:  0.017
0051 : 1 Stanley2Cross  | offset 1.821  | angle -0.818  | speed_z 0.218  | Cross position []  | time:  0.018
0052 : 1 Stanley2Cross  | offset 4.000  | angle 0.000  | speed_z 0.209  | Cross position []  | time:  0.018
0053 : 1 Stanley2Cross  | offset 1.089  | angle -1.023  | speed_z 0.211  | Cross position []  | time:  0.017
0054 : 1 Stanley2Cross  | offset 2.089  | angle -1.023  | speed_z 0.263  | Cross position []  | time:  0.018
0055 : 1 Stanley2Cross  | offset 1.089  | angle -1.023  | speed_z 0.211  | Cross position []  | time:  0.013
0056 : 1 Stanley2Cross  | offset 1.214  | angle -0.546  | speed_z 0.146  | Cross position []  | time:  0.000
0057 : 1 Stanley2Cross  | offset 4.000  | angle 0.000  | speed_z 0.209  | Cross position []  | time:  0.014
0058 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.157  | Cross position []  | time:  0.015
0059 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.157  | Cross position []  | time:  0.015
0060 : 1 Stanley2Cross  | offset -0.179  | angle -0.818  | speed_z 0.113  | Cross position []  | time:  0.017
0061 : 1 Stanley2Cross  | offset 4.000  | angle 0.000  | speed_z 0.209  | Cross position []  | time:  0.001
0062 : 1 Stanley2Cross  | offset 4.000  | angle 0.000  | speed_z 0.209  | Cross position []  | time:  0.013
0063 : 1 Stanley2Cross  | offset 2.607  | angle -0.273  | speed_z 0.177  | Cross position []  | time:  0.001
0064 : 1 Stanley2Cross  | offset 1.125  | angle -0.477  | speed_z 0.131  | Cross position []  | time:  0.004
0065 : 1 Stanley2Cross  | offset -0.179  | angle -0.818  | speed_z 0.113  | Cross position []  | time:  0.017
0066 : 1 Stanley2Cross  | offset -0.179  | angle -0.818  | speed_z 0.113  | Cross position []  | time:  0.016
0067 : 1 Stanley2Cross  | offset 1.125  | angle -0.477  | speed_z 0.131  | Cross position []  | time:  0.020
0068 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.157  | Cross position []  | time:  0.018
0069 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.157  | Cross position []  | time:  0.020
0070 : 1 Stanley2Cross  | offset 1.125  | angle -0.477  | speed_z 0.131  | Cross position []  | time:  0.014
0071 : 1 Stanley2Cross  | offset 2.000  | angle -0.000  | speed_z 0.105  | Cross position []  | time:  0.017
0072 : 1 Stanley2Cross  | offset 2.000  | angle -0.000  | speed_z 0.105  | Cross position []  | time:  0.017
0073 : 1 Stanley2Cross  | offset 4.000  | angle 0.000  | speed_z 0.209  | Cross position []  | time:  0.018
0074 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.157  | Cross position []  | time:  0.017
0075 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.157  | Cross position []  | time:  0.012
0076 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.157  | Cross position []  | time:  0.018
