1_Stanley2Cross_  | time:  1.0732359886169434
1_Stanley2Cross_  | time:  0.004189491271972656
1_Stanley2Cross_  | time:  0.0033829212188720703
1_Stanley2Cross_  | time:  0.0034368038177490234
1_Stanley2Cross_  | time:  0.003512144088745117
1_Stanley2Cross_offset 4.753069958904925 mm / angle 13.035187349492888deg / z speed -0.7254563202642226 CROSS::[]  | time:  0.028731822967529297
1_Stanley2Cross_offset -13.034192525911548 mm / angle 7.150657779059774deg / z speed -0.5781379137961491 CROSS::[]  | time:  0.0034630298614501953
1_Stanley2Cross_offset -11.658585006714219 mm / angle 7.662868841838695deg / z speed -0.5943556553698246 CROSS::[]  | time:  0.0033528804779052734
1_Stanley2Cross_offset -10.447890497204858 mm / angle 5.710593137499647deg / z speed -0.46413079542590197 CROSS::[]  | time:  0.0033028125762939453
1_Stanley2Cross_offset -9.615787205056277 mm / angle 3.744927173542065deg / z speed -0.33703518020899076 CROSS::[]  | time:  0.0033388137817382812
1_Stanley2Cross_offset -9.592329203728944 mm / angle 2.2906100426385687deg / z speed -0.24951623330299882 CROSS::[]  | time:  0.0032613277435302734
1_Stanley2Cross_offset -8.013891229968111 mm / angle 1.8744655626045315deg / z speed -0.20684352720594373 CROSS::[]  | time:  0.0033235549926757812
1_Stanley2Cross_offset -8.910021343408836 mm / angle 1.9438379034825957deg / z speed -0.22110794715781468 CROSS::[]  | time:  0.003930568695068359
1_Stanley2Cross_offset -8.272110750988992 mm / angle 1.7010110992707883deg / z speed -0.19936037790096922 CROSS::[]  | time:  0.003422975540161133
1_Stanley2Cross_offset -8.63356709895017 mm / angle 1.4581231558972394deg / z speed -0.1888624782917855 CROSS::[]  | time:  0.0033617019653320312
1_Stanley2Cross_offset -7.227494874434644 mm / angle 1.5969232452536082deg / z speed -0.18122328434793342 CROSS::[]  | time:  0.0032355785369873047
1_Stanley2Cross_offset -8.446691765034009 mm / angle 1.180473243889026deg / z speed -0.17009911535203226 CROSS::[]  | time:  0.0031931400299072266
1_Stanley2Cross_offset -8.446691765034009 mm / angle 1.180473243889026deg / z speed -0.17009911535203226 CROSS::[]  | time:  0.0034029483795166016
1_Stanley2Cross_offset -7.446904002315066 mm / angle 1.1804732438889702deg / z speed -0.15874751466984555 CROSS::[]  | time:  0.0033676624298095703
1_Stanley2Cross_offset -7.7112361347998775 mm / angle 0.8680514497455815deg / z speed -0.14301825599425863 CROSS::[]  | time:  0.0034155845642089844
1_Stanley2Cross_offset -7.7112361347998775 mm / angle 0.8680514497455815deg / z speed -0.14301825599425863 CROSS::[]  | time:  0.003239870071411133
1_Stanley2Cross_offset -4.7380018935615995 mm / angle 1.3887165895513367deg / z speed -0.13980069130650738 CROSS::[]  | time:  0.0035676956176757812
1_Stanley2Cross_offset -7.775392019547031 mm / angle 0.5555780242458443deg / z speed -0.12500030345159277 CROSS::[]  | time:  0.00341796875
1_Stanley2Cross_offset -6.775439031841971 mm / angle 0.555578024245895deg / z speed -0.11354717993472657 CROSS::[]  | time:  0.0030236244201660156
1_Stanley2Cross_offset -6.117686356209528 mm / angle 0.7291796420021032deg / z speed -0.1163550227732853 CROSS::[]  | time:  0.0036454200744628906
1_Stanley2Cross_offset -7.03933059216758 mm / angle 0.24307154572144274deg / z speed -0.09783309546327527 CROSS::[]  | time:  0.0029036998748779297
1_Stanley2Cross_offset -6.999999999999801 mm / angle 3.455334706870522e-14deg / z speed -0.0827968776879282 CROSS::[]  | time:  0.003322124481201172
1_Stanley2Cross_offset -6.669489967619221 mm / angle -0.4514119527774174deg / z speed -0.05190608279208064 CROSS::[]  | time:  0.0034041404724121094
1_Stanley2Cross_offset -5.000000000000014 mm / angle -3.56583252003647e-15deg / z speed -0.05955597904379885 CROSS::[]  | time:  0.005370616912841797
1_Stanley2Cross_offset -5.651514113587787 mm / angle -0.03472471060481601deg / z speed -0.06509584362736069 CROSS::[]  | time:  0.0032951831817626953
1_Stanley2Cross_offset -5.000000000000014 mm / angle -3.56583252003647e-15deg / z speed -0.05955597904379885 CROSS::[]  | time:  0.003262758255004883
1_Stanley2Cross_offset -4.857553454810278 mm / angle -0.1736230428384737deg / z speed -0.04746581324878222 CROSS::[]  | time:  0.004831790924072266
1_Stanley2Cross_offset -5.5724970090132615 mm / angle -0.5208563745019664deg / z speed -0.035005875094506235 CROSS::[]  | time:  0.0038127899169921875
1_Stanley2Cross_offset -3.0000000000000995 mm / angle -1.8082401511217874e-14deg / z speed -0.03590326967598031 CROSS::[]  | time:  0.002880096435546875
1_Stanley2Cross_offset -5.629889463163357 mm / angle -0.6944602875497546deg / z speed -0.02525943720944909 CROSS::[]  | time:  0.002997875213623047
1_Stanley2Cross_offset -5.629889463163357 mm / angle -0.6944602875497546deg / z speed -0.02525943720944909 CROSS::[]  | time:  0.0034117698669433594
1_Stanley2Cross_offset -5.12696766058707 mm / angle -0.6250200740174755deg / z speed -0.02354402056832801 CROSS::[]  | time:  0.003030061721801758
1_Stanley2Cross_offset -5.481374253780764 mm / angle -0.7291796420020785deg / z speed -0.021442264301241964 CROSS::[]  | time:  0.003728628158569336
1_Stanley2Cross_offset -6.035725180195025 mm / angle -0.8333343902814131deg / z speed -0.021652282270202973 CROSS::[]  | time:  0.004812717437744141
1_Stanley2Cross_offset -5.223996820615293 mm / angle -0.555578024245864deg / z speed -0.028847484451282174 CROSS::[]  | time:  0.003237485885620117
1_Stanley2Cross_offset -3.0000000000000995 mm / angle -1.8082401511217874e-14deg / z speed -0.03590326967598031 CROSS::[]  | time:  0.004370689392089844
1_Stanley2Cross_offset -4.972521800864823 mm / angle -0.5208563745019289deg / z speed -0.027982075108102963 CROSS::[]  | time:  0.003717184066772461
1_Stanley2Cross_offset -3.0000000000000995 mm / angle -1.8082401511217874e-14deg / z speed -0.03590326967598031 CROSS::[]  | time:  0.0032999515533447266
1_Stanley2Cross_offset -3.0000000000000995 mm / angle -1.8082401511217874e-14deg / z speed -0.03590326967598031 CROSS::[]  | time:  0.003506898880004883
1_Stanley2Cross_offset -4.354538256967512 mm / angle -0.10417402977702654deg / z speed -0.045709769645075345 CROSS::[]  | time:  0.003251314163208008
1_Stanley2Cross_offset -2.58174990503749 mm / angle 0.41668923179358497deg / z speed -0.05592062426998523 CROSS::[]  | time:  0.003448009490966797
1_Stanley2Cross_offset -5.000000000000014 mm / angle -3.56583252003647e-15deg / z speed -0.05955597904379885 CROSS::[]  | time:  0.003626585006713867
1_Stanley2Cross_offset -4.084773466741007 mm / angle 0.34724289708574263deg / z speed -0.06960868121203476 CROSS::[]  | time:  0.003367185592651367
