1_Stanley2Green_  | phase  1  | time:  0.152464151382
1_Stanley2Green_  | phase  1  | time:  0.0115358829498
1_Stanley2Green_  | phase  1  | time:  0.0126061439514
1_Stanley2Green_  | phase  1  | time:  0.0125930309296
1_Stanley2Green_  | phase  1  | time:  0.012088060379
1_Stanley2Green_  | phase  1  | time:  0.0116329193115
1_Stanley2Green_  | phase  1  | time:  0.0117540359497
1_Stanley2Green_  | phase  1  | time:  0.0118927955627
1_Stanley2Green_  | phase  1  | time:  0.0120689868927
1_Stanley2Green_  | phase  1  | time:  0.0114841461182
1_Stanley2Green_  | phase  1  | time:  0.0125231742859
1_Stanley2Green_  | phase  1  | time:  0.0118210315704
1_Stanley2Green_  | phase  1  | time:  0.0115759372711
1_Stanley2Green_  | phase  1  | time:  0.0120460987091
1_Stanley2Green_  | phase  1  | time:  0.0115270614624
1_Stanley2Green_  | phase  1  | time:  0.0111539363861
1_Stanley2Green_  | phase  1  | time:  0.0114579200745
1_Stanley2Green_  | phase  1  | time:  0.0110690593719
1_Stanley2Green_  | phase  1  | time:  0.0113749504089
1_Stanley2Green_  | phase  1  | time:  0.0124619007111
1_Stanley2Green_  | phase  1  | time:  0.012011051178
1_Stanley2Green_  | phase  1  | time:  0.0120258331299
1_Stanley2Green_  | phase  1  | time:  0.0134119987488
1_Stanley2Green_  | phase  1  | time:  0.0122621059418
1_Stanley2Green_  | phase  1  | time:  0.0118880271912
1_Stanley2Green_  | phase  1  | time:  0.0116899013519
1_Stanley2Green_  | phase  1  | time:  0.0115661621094
1_Stanley2Green_  | phase  1  | time:  0.0135381221771
1_Stanley2Green_  | phase  1  | time:  0.0129518508911
1_Stanley2Green_  | phase  1  | time:  0.0139441490173
1_Stanley2Green_  | phase  1  | time:  0.0139741897583
1_Stanley2Green_  | phase  1  | time:  0.0143160820007
1_Stanley2Green_  | phase  1  | time:  0.0152459144592
1_Stanley2Green_  | phase  1  | time:  0.0168650150299
1_Stanley2Green_  | phase  1  | offset -33.4398623231  | angle 3.43363036245  | z speed  -0.763313483577  | time:  0.0326249599457
1_Stanley2Green_  | phase  1  | offset -32.7083670236  | angle 0.868051449746  | z speed  -0.602995080084  | time:  0.0224370956421
1_Stanley2Green_  | phase  1  | offset -30.3538043268  | angle -1.4581231559  | z speed  -0.44160339137  | time:  0.0246629714966
1_Stanley2Green_  | phase  1  | offset -27.8064385228  | angle -3.95233658212  | z speed  -0.265956190577  | time:  0.0228910446167
1_Stanley2Green_  | phase  1  | offset -24.9087722933  | angle -7.86741340739  | z speed  0.00190263871362  | time:  0.0247159004211
1_Stanley2Green_  | phase  1  | offset -22.9835639898  | angle -11.6101171855  | z speed  0.250567390198  | time:  0.0220580101013
1_Stanley2Green_  | phase  1  | offset -8.68228395584  | angle -11.6101171855  | z speed  0.496051186833  | time:  0.0220499038696
1_Stanley2Green_  | phase  1  | offset 14.4426832906  | angle -8.17385071382  | z speed  0.80475096144  | time:  0.0239589214325
1_Stanley2Green_  | phase  1  | offset 18.3213223135  | angle -7.96961039432  | z speed  0.857638426485  | time:  0.0218279361725
1_Stanley2Green_  | phase  1  | offset 20.181785483  | angle -7.66286884184  | z speed  0.867267551223  | time:  0.0220150947571
1_Stanley2Green_  | phase  1  | offset 21.4091185676  | angle -7.25319461273  | z speed  0.860098200487  | time:  0.0209698677063
1_Stanley2Green_  | phase  1  | offset 19.1334204731  | angle -7.18484187259  | z speed  0.82303729254  | time:  0.0217311382294
1_Stanley2Green_  | phase  1  | offset 10.931177132  | angle -8.13982503852  | z speed  0.735708385929  | time:  0.0228779315948
1_Stanley2Green_  | phase  1  | offset -1.60667725716  | angle -9.76612651848  | z speed  0.547460293708  | time:  0.0227670669556
1_Stanley2Green_  | phase  1  | offset -7.11284711843  | angle -9.22565727356  | z speed  0.387225734753  | time:  0.0228238105774
1_Stanley2Green_  | phase  1  | offset -9.40239561912  | angle -7.69697339465  | z speed  0.245979775443  | time:  0.0226900577545
1_Stanley2Green_  | phase  1  | offset -10.4478904972  | angle -5.7105931375  | z speed  0.105122681577  | time:  0.0227539539337
1_Stanley2Green_  | phase  1  | offset -8.39684951983  | angle -3.77950238212  | z speed  0.0323489079423  | time:  0.0226819515228
1_Stanley2Green_  | phase  1  | offset -10.5230490415  | angle -3.19136928046  | z speed  -0.0475647119199  | time:  0.0224211215973
1_Stanley2Green_  | phase  1  | offset -11.9025321212  | angle -2.63721436314  | z speed  -0.108375039667  | time:  0.0223848819733
1_Stanley2Green_  | phase  1  | offset -11.52948611  | angle -1.97852194873  | z speed  -0.140555742026  | time:  0.0219540596008
1_Stanley2Green_  | phase  1  | offset -12.7849168255  | angle -2.15191990997  | z speed  -0.154518799746  | time:  0.022570848465
1_Stanley2Green_  | phase  1  | offset -12.53875928  | angle -2.25593996366  | z speed  -0.14357588416  | time:  0.0223340988159
1_Stanley2Green_  | phase  1  | offset -11.9904115047  | angle -2.29061004264  | z speed  -0.130888322785  | time:  0.0222859382629
1_Stanley2Green_  | phase  1  | offset -14.7124238556  | angle -3.05288251479  | z speed  -0.135978113309  | time:  0.0229740142822
1_Stanley2Green_  | phase  1  | offset -14.8143421395  | angle -3.12213046212  | z speed  -0.13363682061  | time:  0.0231249332428
