   / -------   -------
  *  Capsule Passed: dict_keys([])
   \ -------   -------
0002 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.090  | Cross position []  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0003 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.090  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0004 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.090  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0005 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.090  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0006 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.090  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0007 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.090  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0008 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.090  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0009 : 1 Stanley2Cross  | offset 0.143  | angle -1.637  | speed_z 0.084  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0010 : 1 Stanley2Cross  | offset 0.143  | angle -1.637  | speed_z 0.084  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0011 : 1 Stanley2Cross  | offset 0.143  | angle -1.637  | speed_z 0.084  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0012 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.090  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0013 : 1 Stanley2Cross  | offset 0.143  | angle -1.637  | speed_z 0.084  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0014 : 1 Stanley2Cross  | offset 0.964  | angle -1.500  | speed_z 0.092  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0015 : 1 Stanley2Cross  | offset -0.589  | angle -1.841  | speed_z 0.082  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0016 : 1 Stanley2Cross  | offset 0.464  | angle -1.500  | speed_z 0.083  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0017 : 1 Stanley2Cross  | offset 2.089  | angle -1.023  | speed_z 0.088  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0018 : 1 Stanley2Cross  | offset 4.125  | angle -0.477  | speed_z 0.096  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0019 : 1 Stanley2Cross  | offset 3.821  | angle -0.818  | speed_z 0.107  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0020 : 1 Stanley2Cross  | offset 2.928  | angle -1.091  | speed_z 0.106  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0021 : 1 Stanley2Cross  | offset 1.928  | angle -1.091  | speed_z 0.088  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0022 : 1 Stanley2Cross  | offset 2.089  | angle -1.023  | speed_z 0.088  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0023 : 1 Stanley2Cross  | offset 2.928  | angle -1.091  | speed_z 0.106  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0024 : 1 Stanley2Cross  | offset 2.053  | angle -1.568  | speed_z 0.114  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0025 : 1 Stanley2Cross  | offset 3.000  | angle -0.955  | speed_z 0.100  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0026 : 1 Stanley2Cross  | offset 4.125  | angle -0.477  | speed_z 0.096  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0027 : 1 Stanley2Cross  | offset 2.089  | angle -1.023  | speed_z 0.088  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0028 : 1 Stanley2Cross  | offset 0.464  | angle -1.500  | speed_z 0.083  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0029 : 1 Stanley2Cross  | offset 4.125  | angle -0.477  | speed_z 0.096  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0030 : 1 Stanley2Cross  | offset 5.000  | angle 0.000  | speed_z 0.087  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0031 : 1 Stanley2Cross  | offset 1.339  | angle -1.023  | speed_z 0.075  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0032 : 1 Stanley2Cross  | offset 3.821  | angle -0.818  | speed_z 0.107  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0033 : 1 Stanley2Cross  | offset 1.089  | angle -1.023  | speed_z 0.070  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0034 : 1 Stanley2Cross  | offset 2.875  | angle -0.477  | speed_z 0.074  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0035 : 1 Stanley2Cross  | offset 2.875  | angle -0.477  | speed_z 0.074  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0036 : 1 Stanley2Cross  | offset 1.821  | angle -0.818  | speed_z 0.073  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0037 : 1 Stanley2Cross  | offset 3.875  | angle -0.477  | speed_z 0.091  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0038 : 1 Stanley2Cross  | offset 1.339  | angle -1.023  | speed_z 0.075  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0039 : 1 Stanley2Cross  | offset 1.089  | angle -1.023  | speed_z 0.070  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0040 : 1 Stanley2Cross  | offset 1.339  | angle -1.023  | speed_z 0.075  | Cross position []  | time:  0.007  | [ battery: 48%, 11V / 300mA ]
0041 : 1 Stanley2Cross  | offset 2.321  | angle -0.818  | speed_z 0.081  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0042 : 1 Stanley2Cross  | offset 1.089  | angle -1.023  | speed_z 0.070  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0043 : 1 Stanley2Cross  | offset 5.000  | angle 0.000  | speed_z 0.087  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0044 : 1 Stanley2Cross  | offset 5.000  | angle 0.000  | speed_z 0.087  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0045 : 1 Stanley2Cross  | offset 1.089  | angle -1.023  | speed_z 0.070  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0046 : 1 Stanley2Cross  | offset 4.125  | angle -0.477  | speed_z 0.096  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0047 : 1 Stanley2Cross  | offset 3.125  | angle -0.477  | speed_z 0.078  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0048 : 1 Stanley2Cross  | offset -0.179  | angle -0.818  | speed_z 0.038  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0049 : 1 Stanley2Cross  | offset 3.125  | angle -0.477  | speed_z 0.078  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0050 : 1 Stanley2Cross  | offset 2.089  | angle -1.023  | speed_z 0.088  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0051 : 1 Stanley2Cross  | offset 1.821  | angle -0.818  | speed_z 0.073  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0052 : 1 Stanley2Cross  | offset 4.000  | angle 0.000  | speed_z 0.070  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0053 : 1 Stanley2Cross  | offset 1.089  | angle -1.023  | speed_z 0.070  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0054 : 1 Stanley2Cross  | offset 2.089  | angle -1.023  | speed_z 0.088  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0055 : 1 Stanley2Cross  | offset 1.089  | angle -1.023  | speed_z 0.070  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0056 : 1 Stanley2Cross  | offset 1.214  | angle -0.546  | speed_z 0.049  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0057 : 1 Stanley2Cross  | offset 4.000  | angle 0.000  | speed_z 0.070  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0058 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.052  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0059 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.052  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0060 : 1 Stanley2Cross  | offset -0.179  | angle -0.818  | speed_z 0.038  | Cross position []  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0061 : 1 Stanley2Cross  | offset 4.000  | angle 0.000  | speed_z 0.070  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0062 : 1 Stanley2Cross  | offset 4.000  | angle 0.000  | speed_z 0.070  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0063 : 1 Stanley2Cross  | offset 2.607  | angle -0.273  | speed_z 0.059  | Cross position []  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0064 : 1 Stanley2Cross  | offset 1.125  | angle -0.477  | speed_z 0.044  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0065 : 1 Stanley2Cross  | offset -0.179  | angle -0.818  | speed_z 0.038  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0066 : 1 Stanley2Cross  | offset -0.179  | angle -0.818  | speed_z 0.038  | Cross position []  | time:  0.007  | [ battery: 48%, 11V / 300mA ]
0067 : 1 Stanley2Cross  | offset 1.125  | angle -0.477  | speed_z 0.044  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0068 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.052  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0069 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.052  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0070 : 1 Stanley2Cross  | offset 1.125  | angle -0.477  | speed_z 0.044  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0071 : 1 Stanley2Cross  | offset 2.000  | angle -0.000  | speed_z 0.035  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0072 : 1 Stanley2Cross  | offset 2.000  | angle -0.000  | speed_z 0.035  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0073 : 1 Stanley2Cross  | offset 4.000  | angle 0.000  | speed_z 0.070  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0074 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.052  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0075 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.052  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0076 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.052  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0077 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.052  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0078 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.052  | Cross position []  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0079 : 1 Stanley2Cross  | offset -1.071  | angle -1.091  | speed_z 0.036  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0080 : 1 Stanley2Cross  | offset 1.875  | angle -0.477  | speed_z 0.057  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0081 : 1 Stanley2Cross  | offset 1.875  | angle -0.477  | speed_z 0.057  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0082 : 1 Stanley2Cross  | offset 1.875  | angle -0.477  | speed_z 0.057  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0083 : 1 Stanley2Cross  | offset 1.875  | angle -0.477  | speed_z 0.057  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0084 : 1 Stanley2Cross  | offset 1.875  | angle -0.477  | speed_z 0.057  | Cross position []  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0085 : 1 Stanley2Cross  | offset 1.875  | angle -0.477  | speed_z 0.057  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0086 : 1 Stanley2Cross  | offset 2.875  | angle -0.477  | speed_z 0.074  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0087 : 1 Stanley2Cross  | offset -0.000  | angle -0.000  | speed_z -0.000  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0088 : 1 Stanley2Cross  | offset -2.928  | angle 1.091  | speed_z -0.106  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0089 : 1 Stanley2Cross  | offset 0.963  | angle 2.318  | speed_z -0.099  | Cross position []  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0090 : 1 Stanley2Cross  | offset 5.068  | angle 2.045  | speed_z -0.014  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0091 : 1 Stanley2Cross  | offset 2.531  | angle 3.406  | speed_z -0.126  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0092 : 1 Stanley2Cross  | offset -0.339  | angle 3.882  | speed_z -0.200  | Cross position []  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0093 : 1 Stanley2Cross  | offset -10.962  | angle 4.764  | speed_z -0.421  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0094 : 1 Stanley2Cross  | offset -16.412  | angle 8.797  | speed_z -0.701  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0095 : 1 Stanley2Cross  | offset -17.593  | angle 9.529  | speed_z -0.752  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0096 : 1 Stanley2Cross  | offset -23.403  | angle 8.464  | speed_z -0.766  | Cross position []  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0097 : 1 Stanley2Cross  | offset -46.757  | angle 4.899  | speed_z -0.756  | Cross position []  | time:  0.007  | [ battery: 48%, 11V / 300mA ]
0098 : 1 Stanley2Cross  | offset -44.028  | angle 5.508  | speed_z -0.773  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0099 : 1 Stanley2Cross  | offset -21.425  | angle 8.464  | speed_z -0.745  | Cross position []  | time:  0.007  | [ battery: 48%, 11V / 300mA ]
0100 : 1 Stanley2Cross  | offset -18.298  | angle 5.237  | speed_z -0.547  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0101 : 1 Stanley2Cross  | offset -20.642  | angle 4.153  | speed_z -0.520  | Cross position []  | time:  0.007  | [ battery: 48%, 11V / 300mA ]
0102 : 1 Stanley2Cross  | offset -19.508  | angle 4.628  | speed_z -0.531  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0103 : 1 Stanley2Cross  | offset -24.354  | angle 2.386  | speed_z -0.472  | Cross position []  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0104 : 1 Stanley2Cross  | offset -26.661  | angle -0.068  | speed_z -0.372  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0105 : 1 Stanley2Cross  | offset -23.000  | angle -0.000  | speed_z -0.339  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0106 : 1 Stanley2Cross  | offset -24.676  | angle -0.818  | speed_z -0.315  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0107 : 1 Stanley2Cross  | offset -23.067  | angle -1.091  | speed_z -0.285  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0108 : 1 Stanley2Cross  | offset -22.028  | angle -1.500  | speed_z -0.253  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0109 : 1 Stanley2Cross  | offset -21.578  | angle -1.841  | speed_z -0.231  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0110 : 1 Stanley2Cross  | offset -19.529  | angle -1.500  | speed_z -0.225  | Cross position []  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0111 : 1 Stanley2Cross  | offset -18.849  | angle -1.637  | speed_z -0.210  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0112 : 1 Stanley2Cross  | offset -20.357  | angle -2.386  | speed_z -0.190  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0113 : 1 Stanley2Cross  | offset -20.427  | angle -2.522  | speed_z -0.184  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0114 : 1 Stanley2Cross  | offset -19.906  | angle -2.726  | speed_z -0.168  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0115 : 1 Stanley2Cross  | offset -17.450  | angle -2.318  | speed_z -0.158  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0116 : 1 Stanley2Cross  | offset -17.908  | angle -2.726  | speed_z -0.144  | Cross position []  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0117 : 1 Stanley2Cross  | offset -19.773  | angle -3.202  | speed_z -0.143  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0118 : 1 Stanley2Cross  | offset -19.841  | angle -3.338  | speed_z -0.137  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0119 : 1 Stanley2Cross  | offset -19.773  | angle -3.202  | speed_z -0.143  | Cross position []  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0120 : 1 Stanley2Cross  | offset -18.843  | angle -3.338  | speed_z -0.125  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0121 : 1 Stanley2Cross  | offset -19.773  | angle -3.202  | speed_z -0.143  | Cross position []  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
