>>> -------   -------
>>> Capsule Passed: dict_keys([])
>>> -------   -------
0002 > 1 Stanley2Cross  | offset 7.875  | angle -0.477  | speed_z 0.212  | Cross position []  | time:  0.049
0003 > 1 Stanley2Cross  | offset 7.875  | angle -0.477  | speed_z 0.212  | Cross position []  | time:  0.041
0004 > 1 Stanley2Cross  | offset 7.875  | angle -0.477  | speed_z 0.212  | Cross position []  | time:  0.030
0005 > 1 Stanley2Cross  | offset 7.875  | angle -0.477  | speed_z 0.212  | Cross position []  | time:  0.067
0006 > 1 Stanley2Cross  | offset 7.875  | angle -0.477  | speed_z 0.212  | Cross position []  | time:  0.032
0007 > 1 Stanley2Cross  | offset 7.875  | angle -0.477  | speed_z 0.212  | Cross position []  | time:  0.035
0008 > 1 Stanley2Cross  | offset 7.875  | angle -0.477  | speed_z 0.212  | Cross position []  | time:  0.054
0009 > 1 Stanley2Cross  | offset 8.125  | angle -0.477  | speed_z 0.217  | Cross position []  | time:  0.036
0010 > 1 Stanley2Cross  | offset 8.125  | angle -0.477  | speed_z 0.217  | Cross position []  | time:  0.029
0011 > 1 Stanley2Cross  | offset 8.125  | angle -0.477  | speed_z 0.217  | Cross position []  | time:  0.073
0012 > 1 Stanley2Cross  | offset 7.875  | angle -0.477  | speed_z 0.212  | Cross position []  | time:  0.042
0013 > 1 Stanley2Cross  | offset 8.125  | angle -0.477  | speed_z 0.217  | Cross position []  | time:  0.035
0014 > 1 Stanley2Cross  | offset 6.821  | angle -0.818  | speed_z 0.209  | Cross position []  | time:  0.034
0015 > 1 Stanley2Cross  | offset 7.875  | angle -0.477  | speed_z 0.212  | Cross position []  | time:  0.041
0016 > 1 Stanley2Cross  | offset 6.321  | angle -0.818  | speed_z 0.198  | Cross position []  | time:  0.045
0017 > 1 Stanley2Cross  | offset 5.821  | angle -0.818  | speed_z 0.186  | Cross position []  | time:  0.032
0018 > 1 Stanley2Cross  | offset 9.000  | angle -0.000  | speed_z 0.207  | Cross position []  | time:  0.027
0019 > 1 Stanley2Cross  | offset 8.125  | angle -0.477  | speed_z 0.217  | Cross position []  | time:  0.031
0020 > 1 Stanley2Cross  | offset 5.927  | angle -1.091  | speed_z 0.205  | Cross position []  | time:  0.042
0021 > 1 Stanley2Cross  | offset 5.338  | angle -1.023  | speed_z 0.188  | Cross position []  | time:  0.030
0022 > 1 Stanley2Cross  | offset 5.088  | angle -1.023  | speed_z 0.182  | Cross position []  | time:  0.035
0023 > 1 Stanley2Cross  | offset 6.338  | angle -1.023  | speed_z 0.210  | Cross position []  | time:  0.065
0024 > 1 Stanley2Cross  | offset 7.338  | angle -1.023  | speed_z 0.233  | Cross position []  | time:  0.060
0025 > 1 Stanley2Cross  | offset 10.000  | angle -0.000  | speed_z 0.228  | Cross position []  | time:  0.043
0026 > 1 Stanley2Cross  | offset 9.000  | angle -0.000  | speed_z 0.207  | Cross position []  | time:  0.044
0027 > 1 Stanley2Cross  | offset 5.088  | angle -1.023  | speed_z 0.182  | Cross position []  | time:  0.049
0028 > 1 Stanley2Cross  | offset 10.000  | angle -0.000  | speed_z 0.228  | Cross position []  | time:  0.066
0029 > 1 Stanley2Cross  | offset 9.000  | angle -0.000  | speed_z 0.207  | Cross position []  | time:  0.075
0030 > 1 Stanley2Cross  | offset 8.000  | angle -0.000  | speed_z 0.186  | Cross position []  | time:  0.066
0031 > 1 Stanley2Cross  | offset 9.000  | angle -0.000  | speed_z 0.207  | Cross position []  | time:  0.061
0032 > 1 Stanley2Cross  | offset 6.821  | angle -0.818  | speed_z 0.209  | Cross position []  | time:  0.059
0033 > 1 Stanley2Cross  | offset 4.339  | angle -1.023  | speed_z 0.164  | Cross position []  | time:  0.061
0034 > 1 Stanley2Cross  | offset 8.000  | angle -0.000  | speed_z 0.186  | Cross position []  | time:  0.061
0035 > 1 Stanley2Cross  | offset 8.000  | angle -0.000  | speed_z 0.186  | Cross position []  | time:  0.050
0036 > 1 Stanley2Cross  | offset 4.821  | angle -0.818  | speed_z 0.163  | Cross position []  | time:  0.053
0037 > 1 Stanley2Cross  | offset 9.000  | angle -0.000  | speed_z 0.207  | Cross position []  | time:  0.059
0038 > 1 Stanley2Cross  | offset 9.000  | angle -0.000  | speed_z 0.207  | Cross position []  | time:  0.029
0039 > 1 Stanley2Cross  | offset 9.000  | angle -0.000  | speed_z 0.207  | Cross position []  | time:  0.044
