>>> -------   -------
>>> Capsule Passed: {}
>>> -------   -------
1 Stanley2Cross  | offset 7.874726576740741  | angle -0.4774537773095744  | speed_z 0.21173775158499802  | Cross position []  | time:  0.16876983642578125
1 Stanley2Cross  | offset 7.874726576740741  | angle -0.4774537773095744  | speed_z 0.21173775158499802  | Cross position []  | time:  0.008086681365966797
1 Stanley2Cross  | offset 7.874726576740741  | angle -0.4774537773095744  | speed_z 0.21173775158499802  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 7.874726576740741  | angle -0.4774537773095744  | speed_z 0.21173775158499802  | Cross position []  | time:  0.001256704330444336
1 Stanley2Cross  | offset 7.874726576740741  | angle -0.4774537773095744  | speed_z 0.21173775158499802  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 7.874726576740741  | angle -0.4774537773095744  | speed_z 0.21173775158499802  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 7.874726576740741  | angle -0.4774537773095744  | speed_z 0.21173775158499802  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 8.124717896637229  | angle -0.47745377730958183  | speed_z 0.21718024240061812  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 8.124717896637229  | angle -0.47745377730958183  | speed_z 0.21718024240061812  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 8.124717896637229  | angle -0.47745377730958183  | speed_z 0.21718024240061812  | Cross position []  | time:  0.005898475646972656
1 Stanley2Cross  | offset 7.874726576740741  | angle -0.4774537773095744  | speed_z 0.21173775158499802  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 8.124717896637229  | angle -0.47745377730958183  | speed_z 0.21718024240061812  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 6.820732613810885  | angle -0.8184554616886286  | speed_z 0.20891553656596623  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 7.874726576740741  | angle -0.4774537773095744  | speed_z 0.21173775158499802  | Cross position []  | time:  0.00637054443359375
1 Stanley2Cross  | offset 6.320783626411215  | angle -0.818455461688611  | speed_z 0.19769233454774487  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 5.820834639011432  | angle -0.8184554616886192  | speed_z 0.18636197592069514  | Cross position []  | time:  0.0
1 Stanley2Cross  | offset 8.999999999999986  | angle -3.673361298124501e-15  | speed_z 0.20733334834902722  | Cross position []  | time:  0.002651214599609375
