 > > > -------   -------
 > > > Capsule Passed: dict_keys([])
 > > > -------   -------
0002 > 1 Stanley2Cross  | offset 7.875  | angle -0.477  | speed_z 0.190  | Cross position []  | time:  0.032
0003 > 1 Stanley2Cross  | offset 7.875  | angle -0.477  | speed_z 0.190  | Cross position []  | time:  0.009
0004 > 1 Stanley2Cross  | offset 7.875  | angle -0.477  | speed_z 0.190  | Cross position []  | time:  0.011
0005 > 1 Stanley2Cross  | offset 7.875  | angle -0.477  | speed_z 0.190  | Cross position []  | time:  0.005
0006 > 1 Stanley2Cross  | offset 7.875  | angle -0.477  | speed_z 0.190  | Cross position []  | time:  0.006
0007 > 1 Stanley2Cross  | offset 7.875  | angle -0.477  | speed_z 0.190  | Cross position []  | time:  0.007
0008 > 1 Stanley2Cross  | offset 7.875  | angle -0.477  | speed_z 0.190  | Cross position []  | time:  0.005
0009 > 1 Stanley2Cross  | offset 8.125  | angle -0.477  | speed_z 0.195  | Cross position []  | time:  0.005
0010 > 1 Stanley2Cross  | offset 8.125  | angle -0.477  | speed_z 0.195  | Cross position []  | time:  0.005
0011 > 1 Stanley2Cross  | offset 8.125  | angle -0.477  | speed_z 0.195  | Cross position []  | time:  0.007
0012 > 1 Stanley2Cross  | offset 7.875  | angle -0.477  | speed_z 0.190  | Cross position []  | time:  0.005
0013 > 1 Stanley2Cross  | offset 8.125  | angle -0.477  | speed_z 0.195  | Cross position []  | time:  0.005
0014 > 1 Stanley2Cross  | offset 6.821  | angle -0.818  | speed_z 0.190  | Cross position []  | time:  0.005
0015 > 1 Stanley2Cross  | offset 7.875  | angle -0.477  | speed_z 0.190  | Cross position []  | time:  0.006
0016 > 1 Stanley2Cross  | offset 6.321  | angle -0.818  | speed_z 0.180  | Cross position []  | time:  0.009
0017 > 1 Stanley2Cross  | offset 5.821  | angle -0.818  | speed_z 0.170  | Cross position []  | time:  0.005
0018 > 1 Stanley2Cross  | offset 9.000  | angle -0.000  | speed_z 0.183  | Cross position []  | time:  0.006
0019 > 1 Stanley2Cross  | offset 8.125  | angle -0.477  | speed_z 0.195  | Cross position []  | time:  0.007
0020 > 1 Stanley2Cross  | offset 5.927  | angle -1.091  | speed_z 0.188  | Cross position []  | time:  0.006
0021 > 1 Stanley2Cross  | offset 5.338  | angle -1.023  | speed_z 0.172  | Cross position []  | time:  0.006
0022 > 1 Stanley2Cross  | offset 5.088  | angle -1.023  | speed_z 0.167  | Cross position []  | time:  0.005
0023 > 1 Stanley2Cross  | offset 6.338  | angle -1.023  | speed_z 0.192  | Cross position []  | time:  0.009
0024 > 1 Stanley2Cross  | offset 7.338  | angle -1.023  | speed_z 0.212  | Cross position []  | time:  0.005
0025 > 1 Stanley2Cross  | offset 10.000  | angle -0.000  | speed_z 0.202  | Cross position []  | time:  0.005
0026 > 1 Stanley2Cross  | offset 9.000  | angle -0.000  | speed_z 0.183  | Cross position []  | time:  0.008
0027 > 1 Stanley2Cross  | offset 5.088  | angle -1.023  | speed_z 0.167  | Cross position []  | time:  0.005
0028 > 1 Stanley2Cross  | offset 10.000  | angle -0.000  | speed_z 0.202  | Cross position []  | time:  0.006
0029 > 1 Stanley2Cross  | offset 9.000  | angle -0.000  | speed_z 0.183  | Cross position []  | time:  0.008
0030 > 1 Stanley2Cross  | offset 8.000  | angle -0.000  | speed_z 0.164  | Cross position []  | time:  0.010
0031 > 1 Stanley2Cross  | offset 9.000  | angle -0.000  | speed_z 0.183  | Cross position []  | time:  0.007
0032 > 1 Stanley2Cross  | offset 6.821  | angle -0.818  | speed_z 0.190  | Cross position []  | time:  0.009
0033 > 1 Stanley2Cross  | offset 4.339  | angle -1.023  | speed_z 0.152  | Cross position []  | time:  0.010
0034 > 1 Stanley2Cross  | offset 8.000  | angle -0.000  | speed_z 0.164  | Cross position []  | time:  0.007
0035 > 1 Stanley2Cross  | offset 8.000  | angle -0.000  | speed_z 0.164  | Cross position []  | time:  0.005
0036 > 1 Stanley2Cross  | offset 4.821  | angle -0.818  | speed_z 0.149  | Cross position []  | time:  0.008
0037 > 1 Stanley2Cross  | offset 9.000  | angle -0.000  | speed_z 0.183  | Cross position []  | time:  0.009
0038 > 1 Stanley2Cross  | offset 9.000  | angle -0.000  | speed_z 0.183  | Cross position []  | time:  0.006
0039 > 1 Stanley2Cross  | offset 9.000  | angle -0.000  | speed_z 0.183  | Cross position []  | time:  0.007
0040 > 1 Stanley2Cross  | offset 9.000  | angle -0.000  | speed_z 0.183  | Cross position []  | time:  0.008
0041 > 1 Stanley2Cross  | offset 9.000  | angle -0.000  | speed_z 0.183  | Cross position []  | time:  0.007
0042 > 1 Stanley2Cross  | offset 9.000  | angle -0.000  | speed_z 0.183  | Cross position []  | time:  0.006
0043 > 1 Stanley2Cross  | offset 8.000  | angle -0.000  | speed_z 0.164  | Cross position []  | time:  0.008
0044 > 1 Stanley2Cross  | offset 8.000  | angle -0.000  | speed_z 0.164  | Cross position []  | time:  0.005
0045 > 1 Stanley2Cross  | offset 4.089  | angle -1.023  | speed_z 0.147  | Cross position []  | time:  0.006
0046 > 1 Stanley2Cross  | offset 7.125  | angle -0.477  | speed_z 0.175  | Cross position []  | time:  0.011
0047 > 1 Stanley2Cross  | offset 8.000  | angle -0.000  | speed_z 0.164  | Cross position []  | time:  0.005
0048 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.006
0049 > 1 Stanley2Cross  | offset 8.000  | angle -0.000  | speed_z 0.164  | Cross position []  | time:  0.008
0050 > 1 Stanley2Cross  | offset 5.088  | angle -1.023  | speed_z 0.167  | Cross position []  | time:  0.009
0051 > 1 Stanley2Cross  | offset 4.821  | angle -0.818  | speed_z 0.149  | Cross position []  | time:  0.006
0052 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.006
0053 > 1 Stanley2Cross  | offset 6.125  | angle -0.477  | speed_z 0.155  | Cross position []  | time:  0.007
0054 > 1 Stanley2Cross  | offset 7.125  | angle -0.477  | speed_z 0.175  | Cross position []  | time:  0.005
0055 > 1 Stanley2Cross  | offset 4.821  | angle -0.818  | speed_z 0.149  | Cross position []  | time:  0.009
0056 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.005
0057 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.007
0058 > 1 Stanley2Cross  | offset 6.000  | angle -0.000  | speed_z 0.124  | Cross position []  | time:  0.005
0059 > 1 Stanley2Cross  | offset 6.982  | angle 0.205  | speed_z 0.132  | Cross position []  | time:  0.005
0060 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.004
0061 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.007
0062 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.005
0063 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.007
0064 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.007
0065 > 1 Stanley2Cross  | offset 10.659  | angle 1.023  | speed_z 0.153  | Cross position []  | time:  0.009
0066 > 1 Stanley2Cross  | offset 9.678  | angle 0.818  | speed_z 0.147  | Cross position []  | time:  0.010
0067 > 1 Stanley2Cross  | offset 9.678  | angle 0.818  | speed_z 0.147  | Cross position []  | time:  0.008
0068 > 1 Stanley2Cross  | offset 9.678  | angle 0.818  | speed_z 0.147  | Cross position []  | time:  0.010
0069 > 1 Stanley2Cross  | offset 9.678  | angle 0.818  | speed_z 0.147  | Cross position []  | time:  0.008
0070 > 1 Stanley2Cross  | offset 7.893  | angle 0.273  | speed_z 0.145  | Cross position []  | time:  0.006
0071 > 1 Stanley2Cross  | offset 9.659  | angle 1.023  | speed_z 0.134  | Cross position []  | time:  0.009
0072 > 1 Stanley2Cross  | offset 9.659  | angle 1.023  | speed_z 0.134  | Cross position []  | time:  0.010
0073 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.005
0074 > 1 Stanley2Cross  | offset 6.000  | angle -0.000  | speed_z 0.124  | Cross position []  | time:  0.007
0075 > 1 Stanley2Cross  | offset 6.000  | angle -0.000  | speed_z 0.124  | Cross position []  | time:  0.009
0076 > 1 Stanley2Cross  | offset 6.000  | angle -0.000  | speed_z 0.124  | Cross position []  | time:  0.008
0077 > 1 Stanley2Cross  | offset 6.000  | angle -0.000  | speed_z 0.124  | Cross position []  | time:  0.005
0078 > 1 Stanley2Cross  | offset 6.000  | angle -0.000  | speed_z 0.124  | Cross position []  | time:  0.008
0079 > 1 Stanley2Cross  | offset 6.500  | angle 0.000  | speed_z 0.134  | Cross position []  | time:  0.007
0080 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.008
0081 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.005
0082 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.006
0083 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.007
0084 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.010
0085 > 1 Stanley2Cross  | offset 7.000  | angle 0.000  | speed_z 0.144  | Cross position []  | time:  0.007
0086 > 1 Stanley2Cross  | offset 8.000  | angle -0.000  | speed_z 0.164  | Cross position []  | time:  0.007
0087 > 1 Stanley2Cross  | offset 5.125  | angle 0.477  | speed_z 0.078  | Cross position []  | time:  0.007
0088 > 1 Stanley2Cross  | offset 2.535  | angle 1.500  | speed_z -0.037  | Cross position []  | time:  0.005
0089 > 1 Stanley2Cross  | offset 5.922  | angle 2.726  | speed_z -0.041  | Cross position []  | time:  0.007
0090 > 1 Stanley2Cross  | offset 9.617  | angle 2.386  | speed_z 0.052  | Cross position []  | time:  0.004
0091 > 1 Stanley2Cross  | offset 7.893  | angle 3.882  | speed_z -0.071  | Cross position []  | time:  0.007
0092 > 1 Stanley2Cross  | offset 3.634  | angle 4.086  | speed_z -0.169  | Cross position []  | time:  0.005
0093 > 1 Stanley2Cross  | offset -7.811  | angle 4.831  | speed_z -0.450  | Cross position []  | time:  0.005
0094 > 1 Stanley2Cross  | offset -13.372  | angle 8.931  | speed_z -0.798  | Cross position []  | time:  0.005
0095 > 1 Stanley2Cross  | offset -19.447  | angle 8.464  | speed_z -0.866  | Cross position []  | time:  0.008
0096 > 1 Stanley2Cross  | offset -24.696  | angle 7.528  | speed_z -0.879  | Cross position []  | time:  0.005
0097 > 1 Stanley2Cross  | offset -45.757  | angle 4.696  | speed_z -0.889  | Cross position []  | time:  0.004
0098 > 1 Stanley2Cross  | offset -42.037  | angle 5.508  | speed_z -0.915  | Cross position []  | time:  0.006
0099 > 1 Stanley2Cross  | offset -22.465  | angle 7.528  | speed_z -0.851  | Cross position []  | time:  0.009
0100 > 1 Stanley2Cross  | offset -15.560  | angle 5.237  | speed_z -0.613  | Cross position []  | time:  0.008
0101 > 1 Stanley2Cross  | offset -15.359  | angle 4.696  | speed_z -0.578  | Cross position []  | time:  0.022
0102 > 1 Stanley2Cross  | offset -16.443  | angle 4.764  | speed_z -0.599  | Cross position []  | time:  0.009
0103 > 1 Stanley2Cross  | offset -20.049  | angle 2.726  | speed_z -0.531  | Cross position []  | time:  0.010
0104 > 1 Stanley2Cross  | offset -18.925  | angle 1.091  | speed_z -0.416  | Cross position []  | time:  0.007
0105 > 1 Stanley2Cross  | offset -20.000  | angle 0.000  | speed_z -0.366  | Cross position []  | time:  0.004
0106 > 1 Stanley2Cross  | offset -19.000  | angle 0.000  | speed_z -0.352  | Cross position []  | time:  0.007
0107 > 1 Stanley2Cross  | offset -16.000  | angle -0.000  | speed_z -0.306  | Cross position []  | time:  0.005
0108 > 1 Stanley2Cross  | offset -17.658  | angle -1.023  | speed_z -0.271  | Cross position []  | time:  0.010
0109 > 1 Stanley2Cross  | offset -16.069  | angle -1.091  | speed_z -0.242  | Cross position []  | time:  0.006
0110 > 1 Stanley2Cross  | offset -16.299  | angle -1.296  | speed_z -0.233  | Cross position []  | time:  0.005
0111 > 1 Stanley2Cross  | offset -15.530  | angle -1.500  | speed_z -0.209  | Cross position []  | time:  0.005
0112 > 1 Stanley2Cross  | offset -12.069  | angle -1.091  | speed_z -0.174  | Cross position []  | time:  0.005
0113 > 1 Stanley2Cross  | offset -13.851  | angle -1.637  | speed_z -0.173  | Cross position []  | time:  0.007
0114 > 1 Stanley2Cross  | offset -14.062  | angle -2.045  | speed_z -0.152  | Cross position []  | time:  0.006
0115 > 1 Stanley2Cross  | offset -12.583  | angle -1.841  | speed_z -0.138  | Cross position []  | time:  0.007
0116 > 1 Stanley2Cross  | offset -13.453  | angle -2.318  | speed_z -0.125  | Cross position []  | time:  0.008
0117 > 1 Stanley2Cross  | offset -14.432  | angle -2.522  | speed_z -0.129  | Cross position []  | time:  0.010
0118 > 1 Stanley2Cross  | offset -12.954  | angle -2.318  | speed_z -0.116  | Cross position []  | time:  0.009
